	date	temp
0	1973.2292950034223	
1	1975.0951403148529	
2	1975.119780971937	
3	1976.5133470225874	
4	1976.5763175906914	
5	1976.6420260095824	
6	1976.6639288158794	
7	1976.6748802190282	
8	1976.7049965776864	
9	1977.047227926078	
10	1977.2908966461328	
11	1977.8302532511977	
12	1977.9479808350445	
13	1977.956194387406	
14	1977.9698836413415	
15	1978.002737850787	
16	1979.782340862423	
17	1979.9164955509925	
18	1979.9822039698836	
19	1979.9849418206709	
20	1980.0369609856264	
21	1980.0889801505818	
22	1980.116358658453	
23	1980.15742642026	
24	1980.3545516769336	
25	1980.3709787816565	
26	1980.5763175906914	
27	1980.6475017111568	
28	1980.6803559206023	
29	1980.9924709103354	
30	1981.3867214236825	
31	1981.422313483915	
32	1981.4250513347022	
33	1981.7946611909651	
34	1981.8110882956878	
35	1981.9726214921286	
36	1982.3641341546886	
37	1982.4490075290896	
38	1982.6132785763175	
39	1982.7446954140999	
40	1982.8843258042436	
41	1982.933607118412	
42	1983.3278576317591	
43	1983.4592744695415	
44	1983.593429158111	
45	1983.6262833675564	
46	1983.7002053388092	
47	1983.7193702943189	
48	1983.8918548939082	
49	1984.034223134839	
50	1984.0807665982204	
51	1984.485968514716	
52	1984.546201232033	
53	1985.0746064339494	
54	1985.2169746748802	
55	1985.542778918549	
56	1985.6741957563313	
57	1985.7207392197124	
58	1985.7262149212868	
59	1985.7809719370293	
60	1986.0739219712525	
61	1986.0793976728269	
62	1986.084873374401	
63	1986.1889117043122	
64	1986.1998631074607	
65	1986.3860369609856	
66	1986.6707734428473	
67	1986.7310061601643	
68	1986.8624229979466	
69	1987.0869267624914	
70	1987.1909650924024	
71	1987.472963723477	
72	1987.4784394250514	
73	1987.5249828884325	
74	1987.5468856947296	
75	1988.1026694045174	
76	1988.3518138261466	
77	1989.0963951631302	
78	1989.151152178873	
79	1989.255190508784	
80	1989.3975587497148	
81	1989.5098106319872	
82	1989.5509924709104	
83	1989.7507415012549	
84	1990.9307551905088	
85	1991.5303445128907	
86	1993.1593657312344	
87	1994.6514944102214	
88	1994.7144649783254	
89	1994.8458818161077	
90	1995.4127310061601	
91	1995.4865389002966	
92	1996.0204198037873	
93	1997.0197353410906	
94	1997.19221994068	
95	1998.0902349988592	
96	1998.333903718914	
97	1999.4892767510837	
98	2001.0773442847365	
99	2001.1184120465434	
100	2002.1314168377824	
101	2002.2792607802876	
102	2002.4709103353866	
103	2002.870636550308	
104	2003.1772758384668	
105	2003.2511978097193	
106	2003.7275838466803	
107	2006.2380789413644	289.35
108	2008.3708647045403	294.15
