	date	temp
0	1990.592630618298	
1	1990.5938854665753	
2	1990.595368469085	
3	1990.5994752452657	
4	1990.6001597079626	
5	1990.6008441706595	
6	1990.601528633356	
7	1990.6016427104723	
8	1990.602213096053	
9	1990.6035820214465	
10	1990.6048368697238	
11	1990.6075747205111	
12	1990.6186402007756	
13	1990.6261692904404	
14	1990.626853753137	
15	1990.6282226785306	
16	1990.6295916039242	
17	1990.6323294547115	
18	1990.6324435318274	
19	1990.633698380105	
20	1990.6343828428016	
21	1990.6350673054985	
22	1990.6357517681954	
23	1990.6378051562856	
24	1990.6391740816791	
25	1990.6638147387634	
26	1990.665183664157	
27	1990.6665525895505	
28	1990.6666666666667	
29	1990.667807437828	
30	1990.672028291125	
31	1990.6732831394022	
32	1990.674766141912	
33	1990.6754506046086	
34	1990.6761350673055	
35	1990.6768195300024	
36	1990.678188455396	
37	1990.6788729180926	
38	1990.6795573807894	
39	1990.680241843486	
40	1990.6816107688799	
41	1990.6822952315765	
42	1990.6829796942734	
43	1990.6842345425507	
44	1990.6857175450605	
45	1990.6884553958475	
46	1990.689824321241	
